Ep 0	Last score: -32.54	Moving average score: -0.33
Ep 10	Last score: -26.30	Moving average score: -2.24
Ep 20	Last score: -25.89	Moving average score: -3.97
Ep 30	Last score: -25.03	Moving average score: -5.42
Ep 40	Last score: -18.03	Moving average score: -6.75
Ep 50	Last score: -18.05	Moving average score: -7.52
Ep 60	Last score: -32.11	Moving average score: -8.44
Ep 70	Last score: -17.95	Moving average score: -9.35
Ep 80	Last score: -17.98	Moving average score: -9.93
Ep 90	Last score: -17.94	Moving average score: -10.46
Ep 100	Last score: -18.06	Moving average score: -11.26
Ep 110	Last score: -18.05	Moving average score: -11.64
Ep 120	Last score: -18.00	Moving average score: -12.01
Ep 130	Last score: -18.09	Moving average score: -12.60
Ep 140	Last score: -18.03	Moving average score: -12.26
Ep 150	Last score: -17.98	Moving average score: -12.81
Ep 160	Last score: -18.03	Moving average score: -12.72
Ep 170	Last score: -18.08	Moving average score: -12.15
Ep 180	Last score: 10.02	Moving average score: -10.92
Ep 190	Last score: -17.96	Moving average score: -11.24
Ep 200	Last score: -17.96	Moving average score: -10.44
Ep 210	Last score: -17.99	Moving average score: -9.64
Ep 220	Last score: 18.17	Moving average score: -9.19
Ep 230	Last score: -18.10	Moving average score: -8.37
Ep 240	Last score: 28.72	Moving average score: -8.28
Ep 250	Last score: -17.99	Moving average score: -7.35
Ep 260	Last score: -18.08	Moving average score: -7.16
Ep 270	Last score: -18.07	Moving average score: -6.17
Ep 280	Last score: 20.42	Moving average score: -4.46
Ep 290	Last score: 13.02	Moving average score: -2.86
Ep 300	Last score: -18.06	Moving average score: -2.54
Ep 310	Last score: 30.13	Moving average score: -1.91
Ep 320	Last score: 20.50	Moving average score: -1.39
Ep 330	Last score: 28.36	Moving average score: -0.04
Ep 340	Last score: 23.29	Moving average score: 0.53
Ep 350	Last score: 9.91	Moving average score: 2.81
Ep 360	Last score: -18.09	Moving average score: 2.71
Ep 370	Last score: 24.13	Moving average score: 3.78
Ep 380	Last score: -18.06	Moving average score: 4.53
Ep 390	Last score: 15.67	Moving average score: 5.67
Ep 400	Last score: 41.14	Moving average score: 6.13
Ep 410	Last score: 11.82	Moving average score: 6.45
Ep 420	Last score: 12.15	Moving average score: 6.97
Ep 430	Last score: -17.92	Moving average score: 7.44
Ep 440	Last score: 12.25	Moving average score: 7.85
Ep 450	Last score: 15.10	Moving average score: 8.30
Ep 460	Last score: 8.52	Moving average score: 9.36
Ep 470	Last score: 50.00	Moving average score: 9.36
Ep 480	Last score: 17.30	Moving average score: 10.10
Ep 490	Last score: 21.62	Moving average score: 9.96
Ep 500	Last score: -17.97	Moving average score: 10.16
Ep 510	Last score: -18.06	Moving average score: 9.94
Ep 520	Last score: 10.02	Moving average score: 10.46
Ep 530	Last score: 8.09	Moving average score: 10.71
Ep 540	Last score: 12.99	Moving average score: 11.22
Ep 550	Last score: 39.40	Moving average score: 12.24
Ep 560	Last score: 13.58	Moving average score: 12.32
Ep 570	Last score: 12.87	Moving average score: 12.42
Ep 580	Last score: 12.99	Moving average score: 12.81
Ep 590	Last score: 26.63	Moving average score: 13.69
Ep 600	Last score: 20.96	Moving average score: 13.94
Ep 610	Last score: 39.09	Moving average score: 13.96
Ep 620	Last score: 8.28	Moving average score: 14.70
Ep 630	Last score: 22.30	Moving average score: 14.75
Ep 640	Last score: 10.12	Moving average score: 14.74
Ep 650	Last score: 26.40	Moving average score: 15.46
Ep 660	Last score: 29.86	Moving average score: 15.48
Ep 670	Last score: -18.01	Moving average score: 15.40
Ep 680	Last score: -18.09	Moving average score: 15.64
Ep 690	Last score: 9.57	Moving average score: 15.93
Ep 700	Last score: 26.14	Moving average score: 15.68
Ep 710	Last score: 38.03	Moving average score: 16.35
Ep 720	Last score: 10.91	Moving average score: 15.58
Ep 730	Last score: 17.52	Moving average score: 16.12
Ep 740	Last score: 12.31	Moving average score: 16.59
Ep 750	Last score: 17.75	Moving average score: 16.70
Ep 760	Last score: 23.65	Moving average score: 16.57
Ep 770	Last score: 38.37	Moving average score: 16.11
Ep 780	Last score: 24.52	Moving average score: 16.11
Ep 790	Last score: 22.47	Moving average score: 16.49
Ep 800	Last score: 13.50	Moving average score: 16.68
Ep 810	Last score: 28.12	Moving average score: 16.12
Ep 820	Last score: 29.26	Moving average score: 16.79
Ep 830	Last score: 17.90	Moving average score: 16.92
Ep 840	Last score: 24.77	Moving average score: 17.41
Ep 850	Last score: 27.57	Moving average score: 17.26
Ep 860	Last score: 30.35	Moving average score: 18.28
Ep 870	Last score: 16.69	Moving average score: 18.03
Ep 880	Last score: 29.64	Moving average score: 18.74
Ep 890	Last score: -17.93	Moving average score: 19.01
Ep 900	Last score: 15.44	Moving average score: 19.16
Ep 910	Last score: 56.05	Moving average score: 20.32
Ep 920	Last score: 17.31	Moving average score: 20.47
Ep 930	Last score: 22.06	Moving average score: 20.41
Ep 940	Last score: 23.37	Moving average score: 19.67
Ep 950	Last score: 23.75	Moving average score: 19.65
Ep 960	Last score: 13.56	Moving average score: 20.47
Ep 970	Last score: 52.16	Moving average score: 21.31
Ep 980	Last score: 32.30	Moving average score: 22.64
Ep 990	Last score: 19.77	Moving average score: 22.50
Ep 1000	Last score: 11.59	Moving average score: 22.38
Ep 1010	Last score: 16.54	Moving average score: 23.19
Ep 1020	Last score: -18.10	Moving average score: 23.47
Ep 1030	Last score: 16.80	Moving average score: 23.65
Ep 1040	Last score: 27.01	Moving average score: 23.22
Ep 1050	Last score: 16.90	Moving average score: 24.08
Ep 1060	Last score: 25.19	Moving average score: 24.01
Ep 1070	Last score: 18.67	Moving average score: 24.57
Ep 1080	Last score: 29.36	Moving average score: 25.48
Ep 1090	Last score: 56.08	Moving average score: 28.99
Ep 1100	Last score: 51.01	Moving average score: 29.67
Ep 1110	Last score: 33.46	Moving average score: 29.64
Ep 1120	Last score: 56.08	Moving average score: 30.50
Ep 1130	Last score: 17.54	Moving average score: 30.55
Ep 1140	Last score: 36.05	Moving average score: 31.30
Ep 1150	Last score: 56.04	Moving average score: 31.79
Ep 1160	Last score: 56.06	Moving average score: 32.08
Ep 1170	Last score: 38.01	Moving average score: 32.82
Ep 1180	Last score: 47.44	Moving average score: 32.87
Ep 1190	Last score: 50.57	Moving average score: 33.86
Ep 1200	Last score: 56.02	Moving average score: 33.83
Ep 1210	Last score: 56.10	Moving average score: 34.81
Ep 1220	Last score: 11.64	Moving average score: 34.01
Ep 1230	Last score: 49.86	Moving average score: 43.67
Ep 1240	Last score: 56.06	Moving average score: 48.83
Ep 1250	Last score: 56.06	Moving average score: 58.22
Ep 1260	Last score: 256.75	Moving average score: 57.57
Ep 1270	Last score: 251.17	Moving average score: 60.91
Ep 1280	Last score: 54.05	Moving average score: 59.84
Ep 1290	Last score: 56.02	Moving average score: 62.86
Ep 1300	Last score: 379.30	Moving average score: 64.74
Ep 1310	Last score: 56.10	Moving average score: 63.38
Ep 1320	Last score: 56.05	Moving average score: 63.74
Ep 1330	Last score: 321.96	Moving average score: 63.37
Ep 1340	Last score: 56.04	Moving average score: 65.75
Ep 1350	Last score: -36.67	Moving average score: 67.60
Ep 1360	Last score: 56.07	Moving average score: 67.49
Ep 1370	Last score: -32.27	Moving average score: 68.44
Ep 1380	Last score: 56.09	Moving average score: 79.35
Ep 1390	Last score: 40.11	Moving average score: 78.48
Ep 1400	Last score: 51.58	Moving average score: 86.83
Ep 1410	Last score: 46.36	Moving average score: 87.99
Ep 1420	Last score: 35.73	Moving average score: 85.87
Ep 1430	Last score: 56.06	Moving average score: 90.28
Ep 1440	Last score: 248.96	Moving average score: 89.79
Ep 1450	Last score: 29.72	Moving average score: 85.94
Ep 1460	Last score: 459.45	Moving average score: 90.67
Ep 1470	Last score: 442.01	Moving average score: 95.44
Ep 1480	Last score: 306.37	Moving average score: 105.43
Ep 1490	Last score: 331.80	Moving average score: 114.36
Ep 1500	Last score: 331.44	Moving average score: 116.13
